Date,2yr - AG,3yr - AG,5yr - AG,10yr,Indexed,3yr - NSW,5yr - NSW,10yr - NSW,In RBA 3dWindow,In RBA 5dWindow,In RBA 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,RBA 10yr - 3dWindow Change,RBA 10yr - 5dWindow Change,RBA 10yr - 7dWindow Change,RBA 10yr - Outside 3dWindow Change,RBA 10yr - Outside 5dWindow Change,RBA 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change
1999-10-07,5.72,5.92,6.18,6.51,3.71,6.243166970802919,6.530663157894737,6.8420000000000005,False,False,False,False,True,True,0.02999999999999936,6.4205,0.004699999999999704,0.0,0.0,0.0,0.02999999999999936,0.02999999999999936,0.02999999999999936,0.0,0.02999999999999936,0.02999999999999936,0.02999999999999936,0.0,0.0
1999-10-08,5.68,5.89,6.15,6.49,3.7,6.213854014598541,6.481786842105263,6.8035,False,False,False,False,False,True,-0.019999999999999574,6.4269,0.006400000000000183,0.0,0.0,0.0,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,0.0,0.0,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,0.0
1999-10-11,5.69,5.9,6.15,6.49,3.71,6.214555656934307,6.485302631578947,6.8035,False,False,False,False,False,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-12,5.71,5.92,6.17,6.49,3.71,6.23146897810219,6.4978,6.795999999999999,False,False,False,False,False,False,0.0,6.4531,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-13,5.72,5.93,6.17,6.5,3.73,6.2475447080291975,6.497186184210527,6.795999999999999,False,False,False,False,False,False,0.009999999999999787,6.5177,0.06459999999999955,0.0,0.0,0.0,0.009999999999999787,0.009999999999999787,0.009999999999999787,0.0,0.0,0.0,0.009999999999999787,0.009999999999999787,0.009999999999999787
1999-10-14,5.86,6.08,6.31,6.65,3.81,6.388021897810218,6.646030263157894,6.9535,False,False,False,False,False,False,0.15000000000000036,6.5708,0.05310000000000059,0.0,0.0,0.0,0.15000000000000036,0.15000000000000036,0.15000000000000036,0.0,0.0,0.0,0.15000000000000036,0.15000000000000036,0.15000000000000036
1999-10-15,5.89,6.12,6.36,6.69,3.82,6.451898722627737,6.708407894736842,7.007,False,False,False,False,False,False,0.040000000000000036,6.4967,-0.0741000000000005,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036
1999-10-18,5.86,6.08,6.31,6.61,3.78,6.413427007299271,6.664298684210526,6.949,False,False,False,False,False,False,-0.08000000000000007,6.5261,0.02939999999999987,0.0,0.0,0.0,-0.08000000000000007,-0.08000000000000007,-0.08000000000000007,0.0,0.0,0.0,-0.08000000000000007,-0.08000000000000007,-0.08000000000000007
1999-10-19,5.98,6.2,6.43,6.73,3.79,6.5387509124087595,6.786499342105263,7.0695,False,False,False,False,False,False,0.1200000000000001,6.579,0.05290000000000017,0.0,0.0,0.0,0.1200000000000001,0.1200000000000001,0.1200000000000001,0.0,0.0,0.0,0.1200000000000001,0.1200000000000001,0.1200000000000001
1999-10-20,6.04,6.24,6.45,6.73,3.76,6.566322992700729,6.802763157894737,7.0575,False,False,False,False,False,False,0.0,6.5756,-0.0034000000000000696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
