"Date","Price","Open","High","Low","Vol.","Change %"
"06/03/1999","1.4758","1.4796","1.4813","1.4747","","-0.20%"
"06/02/1999","1.4788","1.4836","1.4862","1.4776","","-0.34%"
"06/01/1999","1.4838","1.4741","1.4863","1.4739","","0.67%"
"05/31/1999","1.4739","1.4718","1.4777","1.4718","","0.16%"
"05/28/1999","1.4716","1.4752","1.4785","1.4707","","-0.31%"
"05/27/1999","1.4762","1.4704","1.4778","1.4656","","0.40%"
"05/26/1999","1.4703","1.4667","1.4749","1.4636","","0.21%"
"05/25/1999","1.4672","1.4558","1.4678","1.4533","","0.76%"
"05/24/1999","1.4562","1.4613","1.4627","1.4531","","-0.31%"
"05/21/1999","1.4608","1.4662","1.4675","1.4584","","-0.35%"
"05/20/1999","1.4660","1.4695","1.4695","1.4645","","-0.20%"
"05/19/1999","1.4690","1.4565","1.4711","1.4565","","0.10%"
"05/18/1999","1.4676","1.4602","1.4677","1.4563","","0.50%"
"05/17/1999","1.4603","1.4644","1.4684","1.4580","","-0.27%"
"05/14/1999","1.4643","1.4571","1.4667","1.4519","","0.46%"
"05/13/1999","1.4576","1.4593","1.4640","1.4563","","-0.12%"
"05/12/1999","1.4593","1.4527","1.4619","1.4505","","0.49%"
"05/11/1999","1.4522","1.4608","1.4615","1.4507","","-0.61%"
"05/10/1999","1.4611","1.4576","1.4618","1.4570","","0.24%"
"05/07/1999","1.4576","1.4542","1.4621","1.4522","","0.23%"
"05/06/1999","1.4542","1.4505","1.4565","1.4452","","0.27%"
"05/05/1999","1.4503","1.4524","1.4576","1.4485","","-0.13%"
"05/04/1999","1.4522","1.4480","1.4553","1.4473","","0.35%"
"05/03/1999","1.4472","1.4564","1.4586","1.4459","","-0.64%"
"04/30/1999","1.4565","1.4637","1.4662","1.4539","","-0.47%"
"04/29/1999","1.4634","1.4724","1.4737","1.4628","","-0.67%"
"04/28/1999","1.4732","1.4802","1.4809","1.4732","","-0.48%"
"04/27/1999","1.4803","1.4773","1.4835","1.4763","","0.26%"
"04/26/1999","1.4765","1.4750","1.4821","1.4750","","0.07%"
"04/23/1999","1.4755","1.4807","1.4815","1.4743","","-0.32%"
"04/22/1999","1.4802","1.4865","1.4883","1.4793","","-0.42%"
"04/21/1999","1.4865","1.4895","1.4925","1.4860","","-0.19%"
"04/20/1999","1.4893","1.4863","1.4914","1.4853","","0.17%"
"04/19/1999","1.4867","1.4787","1.4877","1.4775","","0.58%"
"04/16/1999","1.4782","1.4890","1.4902","1.4777","","-0.71%"
"04/15/1999","1.4888","1.4939","1.4971","1.4873","","-0.35%"
"04/14/1999","1.4941","1.4912","1.4950","1.4900","","0.21%"
"04/13/1999","1.4910","1.4925","1.4931","1.4872","","-0.05%"
"04/12/1999","1.4918","1.5001","1.5005","1.4914","","-0.57%"
"04/09/1999","1.5003","1.4997","1.5044","1.4973","","0.05%"
"04/08/1999","1.4996","1.4983","1.5005","1.4969","","0.09%"
"04/07/1999","1.4983","1.5026","1.5048","1.4975","","-0.27%"
"04/06/1999","1.5023","1.5000","1.5048","1.4998","","0.05%"
"04/05/1999","1.5015","1.4957","1.5040","1.4950","","0.43%"
"04/02/1999","1.4950","1.4993","1.5008","1.4950","","-0.25%"
"04/01/1999","1.4987","1.5066","1.5081","1.4972","","-0.62%"
"03/31/1999","1.5080","1.5098","1.5145","1.5070","","-0.18%"
"03/30/1999","1.5107","1.5125","1.5157","1.5105","","-0.22%"
"03/29/1999","1.5140","1.5123","1.5160","1.5110","","0.02%"
"03/26/1999","1.5137","1.5076","1.5155","1.5050","","0.41%"
"03/25/1999","1.5075","1.5084","1.5128","1.5065","","-0.07%"
"03/24/1999","1.5086","1.5078","1.5092","1.5023","","0.06%"
"03/23/1999","1.5077","1.5030","1.5091","1.5025","","0.36%"
"03/22/1999","1.5023","1.5155","1.5160","1.5023","","-0.86%"
"03/19/1999","1.5153","1.5181","1.5197","1.5145","","-0.24%"
"03/18/1999","1.5190","1.5212","1.5215","1.5162","","-0.15%"
"03/17/1999","1.5213","1.5278","1.5283","1.5194","","-0.49%"
"03/16/1999","1.5288","1.5263","1.5305","1.5250","","0.17%"
"03/15/1999","1.5262","1.5238","1.5295","1.5230","","0.12%"
"03/12/1999","1.5243","1.5242","1.5271","1.5195","","0.02%"
"03/11/1999","1.5240","1.5229","1.5265","1.5183","","0.10%"
"03/10/1999","1.5225","1.5190","1.5249","1.5135","","0.21%"
"03/09/1999","1.5193","1.5174","1.5195","1.5115","","0.18%"
"03/08/1999","1.5166","1.5183","1.5196","1.5135","","-0.11%"
"03/05/1999","1.5183","1.5222","1.5239","1.5150","","-0.37%"
"03/04/1999","1.5240","1.5235","1.5317","1.5225","","-0.16%"
"03/03/1999","1.5265","1.5214","1.5290","1.5190","","0.32%"
"03/02/1999","1.5216","1.5220","1.5286","1.5190","","-0.02%"
"03/01/1999","1.5219","1.5090","1.5250","1.5071","","0.92%"
"02/26/1999","1.5080","1.5123","1.5139","1.5063","","-0.26%"
"02/25/1999","1.5120","1.4988","1.5137","1.4975","","0.83%"
"02/24/1999","1.4995","1.4950","1.5041","1.4937","","0.26%"
"02/23/1999","1.4956","1.4950","1.4997","1.4940","","0.01%"
"02/22/1999","1.4955","1.4878","1.4987","1.4869","","0.57%"
"02/19/1999","1.4870","1.4863","1.4923","1.4848","","0.07%"
"02/18/1999","1.4860","1.4935","1.4955","1.4857","","-0.64%"
"02/17/1999","1.4956","1.4963","1.5004","1.4934","","0.09%"
"02/16/1999","1.4942","1.4928","1.5065","1.4922","","0.09%"
"02/15/1999","1.4929","1.4925","1.4943","1.4914","","0.11%"
"02/12/1999","1.4912","1.4913","1.4943","1.4881","","-0.07%"
"02/11/1999","1.4922","1.4901","1.4932","1.4868","","0.18%"
"02/10/1999","1.4895","1.4955","1.4970","1.4883","","-0.39%"
"02/09/1999","1.4954","1.4920","1.4965","1.4895","","0.24%"
"02/08/1999","1.4918","1.4893","1.4922","1.4850","","0.09%"
"02/05/1999","1.4905","1.4913","1.4927","1.4825","","0.00%"
"02/04/1999","1.4905","1.5105","1.5112","1.4895","","-1.33%"
"02/03/1999","1.5106","1.5150","1.5161","1.5095","","-0.27%"
"02/02/1999","1.5147","1.5078","1.5168","1.5030","","0.43%"
"02/01/1999","1.5082","1.5110","1.5155","1.5065","","-0.15%"
"01/29/1999","1.5105","1.5170","1.5185","1.5065","","-0.51%"
"01/28/1999","1.5182","1.5185","1.5280","1.5165","","-0.07%"
"01/27/1999","1.5192","1.5194","1.5223","1.5189","","-0.09%"
"01/26/1999","1.5205","1.5203","1.5225","1.5155","","-0.02%"
"01/25/1999","1.5208","1.5205","1.5240","1.5130","","0.18%"
"01/22/1999","1.5180","1.5150","1.5215","1.5110","","0.10%"
"01/21/1999","1.5165","1.5215","1.5238","1.5115","","-0.32%"
"01/20/1999","1.5213","1.5300","1.5310","1.5205","","-0.52%"
"01/19/1999","1.5293","1.5260","1.5340","1.5250","","0.15%"
"01/18/1999","1.5270","1.5256","1.5298","1.5205","","0.08%"
"01/15/1999","1.5258","1.5340","1.5393","1.5240","","-0.57%"
"01/14/1999","1.5345","1.5230","1.5350","1.5180","","0.73%"
"01/13/1999","1.5234","1.5155","1.5475","1.5145","","0.65%"
"01/12/1999","1.5135","1.5060","1.5147","1.5055","","0.54%"
"01/11/1999","1.5053","1.5119","1.5144","1.5050","","-0.48%"
"01/08/1999","1.5126","1.5130","1.5165","1.5085","","-0.07%"
"01/07/1999","1.5137","1.5107","1.5162","1.5057","","0.18%"
