Date,2yr - AG,3yr - AG,5yr - AG,10yr,Indexed,3yr - NSW,5yr - NSW,10yr - NSW,In RBA 3dWindow,In RBA 5dWindow,In RBA 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,RBA 10yr - 3dWindow Change,RBA 10yr - 5dWindow Change,RBA 10yr - 7dWindow Change,RBA 10yr - Outside 3dWindow Change,RBA 10yr - Outside 5dWindow Change,RBA 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,Price,Open,High,Low,Vol.,Change %,Spread
2018-10-11,2.014,2.076,2.293,2.728,0.828,,,,False,False,False,False,False,False,-0.0239999999999995,3.1421,-0.0766,0.0,0.0,0.0,-0.0239999999999995,-0.0239999999999995,-0.0239999999999995,0.0,0.0,0.0,-0.0239999999999995,-0.0239999999999995,-0.0239999999999995,1.4037,1.4176,1.4192,1.4023,,-0.86%,0.0
2018-10-12,2.038,2.101,2.319,2.748,0.844,,,,False,False,False,False,False,False,0.02,3.1479,0.0057999999999998,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,1.4047,1.4041,1.4085,1.4004,,0.07%,0.0048540279982276
2018-10-15,2.022,2.078,2.292,2.688,0.778,,,,False,False,False,False,False,False,-0.06,3.1601,0.0121999999999999,0.0,0.0,0.0,-0.06,-0.06,-0.06,0.0,0.0,0.0,-0.06,-0.06,-0.06,1.4023,1.4055,1.4088,1.3986,,-0.17%,0.0038329371071855
2018-10-16,2.027,2.083,2.299,2.708,0.779,,,,False,False,False,False,False,False,0.02,3.152,-0.0080999999999997,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,1.4004,1.4027,1.4061,1.398,,-0.14%,0.0046487741557512
2018-10-17,2.014,2.07,2.285,2.699,0.776,,,,False,False,False,False,False,False,-0.0090000000000003,3.1831,0.0310999999999999,0.0,0.0,0.0,-0.0090000000000003,-0.0090000000000003,-0.0090000000000003,0.0,0.0,0.0,-0.0090000000000003,-0.0090000000000003,-0.0090000000000003,1.4067,1.4004,1.4073,1.3965,,0.45%,0.0052402666004397
2018-10-18,2.035,2.104,2.319,2.723,0.797,,,,False,False,False,False,False,False,0.024,3.1704,-0.0127000000000001,0.0,0.0,0.0,0.024,0.024,0.024,0.0,0.0,0.0,0.024,0.024,0.024,1.4085,1.4065,1.4088,1.3979,,0.13%,0.0065559195528114
2018-10-19,2.016,2.076,2.286,2.679,0.761,,,,False,False,False,False,False,False,-0.044,3.197,0.0266000000000001,0.0,0.0,0.0,-0.044,-0.044,-0.044,0.0,0.0,0.0,-0.044,-0.044,-0.044,1.4043,1.4085,1.4106,1.3982,,-0.30%,0.0021309387769444
2018-10-22,2.022,2.085,2.298,2.699,0.776,,,,False,False,False,False,False,False,0.02,3.1919,-0.0051000000000001,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,1.4122,1.4061,1.4136,1.4025,,0.56%,0.0
2018-10-23,2.006,2.066,2.279,2.675,0.76,,,,False,False,False,False,False,False,-0.024,3.1686,-0.0232999999999998,0.0,0.0,0.0,-0.024,-0.024,-0.024,0.0,0.0,0.0,-0.024,-0.024,-0.024,1.4112,1.4122,1.4174,1.41,,-0.07%,0.0031744539050362
2018-10-24,1.998,2.056,2.268,2.656,0.754,,,,False,False,False,False,False,False,-0.0189999999999996,3.0996,-0.0689999999999999,0.0,0.0,0.0,-0.0189999999999996,-0.0189999999999996,-0.0189999999999996,0.0,0.0,0.0,-0.0189999999999996,-0.0189999999999996,-0.0189999999999996,1.4166,1.4112,1.4168,1.4069,,0.38%,0.004804993263014
