Date,1yr,2yr,5yr,10yr,20yr,30yr,In ECB 3dWindow,In ECB 5dWindow,In ECB 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,ECB 10yr - 3dWindow Change,ECB 10yr - 5dWindow Change,ECB 10yr - 7dWindow Change,ECB 10yr - Outside 3dWindow Change,ECB 10yr - Outside 5dWindow Change,ECB 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,US10y,US10y Change,Price,Open,High,Low,Vol.,Change %,Spread,country,gdp_per_cap,log_gpc,qrtly_chng_gpc,yearly_chng_gpc,log_qrtly_chng_gpc,log_yearly_chng_gpc,vix,dxy
2007-11-02,4.148,3.977,4.065,4.186,4.453,4.461,False,False,False,0,True,True,-0.1070000000000002,0.0,0.0,0.0,-0.1070000000000002,-0.1070000000000002,-0.1070000000000002,0.0,-0.1070000000000002,-0.1070000000000002,-0.1070000000000002,0.0,0.0,4.4569,-0.0411000000000001,"0,6893","0,6932",0.6936,0.6882,,"-0,62%",0.46189180426795,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,,76.339996
2007-11-05,4.134,3.943,4.033,4.179,4.463,4.464,False,False,True,0,False,False,-0.0069999999999996,0.0,0.0,-0.0069999999999996,-0.0069999999999996,-0.0069999999999996,0.0,0.0,0.0,0.0,-0.0069999999999996,-0.0069999999999996,-0.0069999999999996,4.4829,0.0259999999999998,"0,6913","0,6889",0.6924,0.6884,,"0,29%",0.15373636395235002,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,12.95,76.43
2007-11-06,4.152,3.943,3.999,4.188,4.468,4.478,False,True,True,0,False,False,0.0089999999999994,0.0,0.0089999999999994,0.0089999999999994,0.0089999999999994,0.0,0.0,0.0,0.0,0.0,0.0089999999999994,0.0089999999999994,0.0089999999999994,4.5219,0.0389999999999997,"0,6871","0,6912",0.6915,0.6862,,"-0,61%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,14.71,76.040001
2007-11-07,4.153,3.942,3.999,4.204,4.492,4.494,True,True,True,0,False,False,0.016,0.016,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.016,0.016,4.5099,-0.0119999999999995,"0,6830","0,6868",0.6871,0.6787,,"-0,60%",0.3672332566455,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,16.64,75.410004
2007-11-08,3.973,3.89,3.942,4.13,4.439,4.426,True,True,True,0,False,False,-0.0739999999999998,-0.0739999999999998,-0.0739999999999998,-0.0739999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.0739999999999998,-0.0739999999999998,-0.0739999999999998,4.4713,-0.0385999999999997,"0,6815","0,6830",0.6843,0.68,,"-0,22%",0.21927187291143,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,,75.459999
2007-11-09,4.073,3.861,3.922,4.131,4.466,4.457,True,True,True,0,False,False,0.0010000000000003,0.0010000000000003,0.0010000000000003,0.0010000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000000003,0.0010000000000003,0.0010000000000003,4.4175,-0.0537999999999998,"0,6814","0,6815",0.6835,0.6777,,"-0,01%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,25.27,75.400002
2007-11-12,4.059,3.809,3.894,4.092,4.429,4.439,False,False,False,0,False,False,-0.0390000000000005,0.0,0.0,0.0,-0.0390000000000005,-0.0390000000000005,-0.0390000000000005,0.0,0.0,0.0,-0.0390000000000005,-0.0390000000000005,-0.0390000000000005,,,"0,6879","0,6815",0.6884,0.6813,,"0,95%",0.5560271729076199,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,23.59,75.900002
2007-11-13,4.089,3.82,3.872,4.102,4.412,4.419,False,False,False,0,False,False,0.0100000000000006,0.0,0.0,0.0,0.0100000000000006,0.0100000000000006,0.0100000000000006,0.0,0.0,0.0,0.0100000000000006,0.0100000000000006,0.0100000000000006,4.4364,,"0,6848","0,6881",0.6887,0.6832,,"-0,45%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,24.1,75.879997
2007-11-14,4.078,3.889,3.939,4.145,4.472,4.472,False,False,False,0,False,False,0.0429999999999992,0.0,0.0,0.0,0.0429999999999992,0.0429999999999992,0.0429999999999992,0.0,0.0,0.0,0.0429999999999992,0.0429999999999992,0.0429999999999992,4.4474,0.0110000000000001,"0,6823","0,6847",0.685,0.679,,"-0,37%",0.5955637410934199,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,25.94,75.809998
2007-11-15,3.956,3.848,3.943,4.133,4.447,4.455,False,False,False,0,False,False,-0.0119999999999995,0.0,0.0,0.0,-0.0119999999999995,-0.0119999999999995,-0.0119999999999995,0.0,0.0,0.0,-0.0119999999999995,-0.0119999999999995,-0.0119999999999995,4.3528,-0.0945999999999998,"0,6838","0,6828",0.6847,0.6799,,"0,22%",0.19229292656015,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,28.06,76.07
