Date,Price,Open,High,Low,Vol.,Change %,Spread
2017-08-08,1.2637,1.2634,1.2678,1.2585,,0.00%,0.0
2017-08-07,1.2637,1.2625,1.2664,1.2577,,0.17%,0.005039943130638276
2017-08-04,1.2616,1.2582,1.2678,1.2532,,0.29%,0.004577737679364867
2017-08-03,1.258,1.2544,1.2635,1.2541,,0.23%,0.005307626581504747
2017-08-02,1.2551,1.2551,1.2598,1.251,,0.01%,0.0007233771411484328
2017-08-01,1.255,1.2496,1.2564,1.2429,,0.44%,0.0
2017-07-31,1.2495,1.2502,1.257,1.2486,,-0.21%,0.003462397396858257
2017-07-28,1.2521,1.2547,1.26,1.2483,,-0.24%,0.005213619195609355
2017-07-27,1.2551,1.249,1.2574,1.2398,,0.49%,0.0017911042256230502
2017-07-26,1.249,1.2599,1.2693,1.2473,,-0.87%,0.0
2017-07-25,1.26,1.263,1.2657,1.2543,,-0.16%,0.005316737896989657
2017-07-24,1.262,1.262,1.2658,1.2547,,-0.10%,0.008450201047497606
2017-07-21,1.2633,1.2571,1.2705,1.2565,,0.54%,0.003960824779866323
2017-07-20,1.2565,1.2575,1.2662,1.2514,,-0.07%,0.0024341622306062894
2017-07-19,1.2574,1.2631,1.2648,1.2563,,-0.46%,0.004336946344557509
2017-07-18,1.2632,1.2813,1.2844,1.2585,,-1.47%,0.0
2017-07-17,1.282,1.2782,1.2838,1.2754,,0.42%,0.0024904841943713665
2017-07-14,1.2767,1.2927,1.2943,1.2758,,-1.31%,0.002685709443418724
2017-07-13,1.2936,1.303,1.3034,1.2918,,-0.68%,0.0
2017-07-12,1.3024,1.3091,1.3101,1.3011,,-0.53%,0.0
2017-07-11,1.3094,1.3143,1.3153,1.3077,,-0.40%,0.0
2017-07-10,1.3146,1.3146,1.3183,1.3129,,-0.02%,0.0
2017-07-07,1.3148,1.3178,1.3207,1.3112,,-0.26%,0.0026201373084356098
2017-07-06,1.3182,1.3151,1.32,1.3127,,0.22%,0.004548773356786034
2017-07-05,1.3153,1.3153,1.3212,1.3101,,0.02%,0.004006154289830027
2017-07-04,1.3151,1.3055,1.3179,1.3016,,0.75%,0.00021580871811069784
2017-07-03,1.3053,1.3014,1.3082,1.2989,,0.38%,0.0
2017-06-30,1.3003,1.3019,1.3049,1.2968,,-0.09%,0.0017311203333138323
2017-06-29,1.3015,1.3091,1.31,1.3006,,-0.56%,0.0
2017-06-28,1.3088,1.3186,1.3197,1.3074,,-0.76%,0.0
2017-06-27,1.3188,1.318,1.3199,1.3112,,0.03%,0.004703568640417676
2017-06-26,1.3184,1.3215,1.3231,1.3158,,-0.21%,0.0
2017-06-23,1.3212,1.3259,1.3271,1.3187,,-0.35%,0.0
2017-06-22,1.3259,1.3238,1.3272,1.3195,,0.15%,0.005280877391720212
2017-06-21,1.3239,1.3192,1.3263,1.3179,,0.36%,0.0038226782337186915
2017-06-20,1.3192,1.3152,1.3211,1.3113,,0.24%,0.0
2017-06-19,1.316,1.3118,1.319,1.3107,,0.29%,0.004485866205296451
2017-06-16,1.3122,1.3198,1.3205,1.3106,,-0.55%,0.005545445492243768
2017-06-15,1.3195,1.3184,1.3217,1.3101,,0.12%,0.006700051850064528
2017-06-14,1.3179,1.3269,1.3279,1.3094,,-0.66%,0.006131149182246701
2017-06-13,1.3267,1.3258,1.3293,1.3216,,0.05%,0.0002449389107198203
2017-06-12,1.326,1.3275,1.3298,1.3246,,-0.14%,0.001983718393640406
2017-06-09,1.3279,1.3253,1.3306,1.3244,,0.20%,0.003442143836718042
2017-06-08,1.3252,1.3249,1.3294,1.3236,,0.06%,0.00271131966624114
2017-06-07,1.3244,1.3321,1.3337,1.3213,,-0.56%,0.0023483066920506903
2017-06-06,1.3318,1.3359,1.3413,1.3291,,-0.29%,0.0
2017-06-05,1.3357,1.3451,1.3489,1.3334,,-0.54%,0.0
2017-06-02,1.343,1.3568,1.357,1.3428,,-0.97%,0.0
2017-06-01,1.3561,1.3463,1.3567,1.3412,,0.77%,0.009335393850902016
2017-05-31,1.3458,1.3397,1.3471,1.3372,,0.47%,0.0
2017-05-30,1.3395,1.3437,1.3486,1.3379,,-0.33%,0.005715238473761377
2017-05-29,1.344,1.346,1.3471,1.3422,,0.09%,0.001916769381810263
2017-05-26,1.3428,1.3412,1.3474,1.3396,,0.09%,0.0025322309623024347
2017-05-25,1.3416,1.3332,1.3429,1.3305,,0.68%,0.0
2017-05-24,1.3325,1.3376,1.3439,1.3315,,-0.35%,0.007467679905319174
2017-05-23,1.3372,1.3375,1.34,1.3302,,-0.03%,0.003808414134774377
2017-05-22,1.3376,1.3412,1.346,1.3353,,-0.19%,0.0
2017-05-19,1.3402,1.3477,1.3503,1.3388,,-0.57%,0.0012740619356365291
2017-05-18,1.3479,1.3458,1.3501,1.339,,0.16%,0.008049681642692827
2017-05-17,1.3458,1.3469,1.3539,1.3432,,-0.05%,0.0009273520358477705
